,Phone Name,Rating,Price,Memory,Display,Camera,Battery
99,"REDMI 13 5G (Hawaiian Blue, 128 GB)",4.3,"₹12,100",6 GB RAM | 128 GB ROM,17.25 cm (6.79 inch) Full HD+ Display,108MP Rear Camera,5030 mAh Battery
100,"realme C63 5G Charger in the Box (Forest Green, 128 GB)",4.4,"₹10,999",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,5000 mAh Battery
101,"Tecno Pova 6 Neo 5G (Midnight Shadow, 128 GB)",4.3,"₹11,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Display,108MP Rear Camera | 8MP Front Camera,5000 mAh Battery
102,Kechaoda K115,4.1,₹998,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,3.66 cm (1.44 inch) QVGA Display,0.3MP + 0MP | 0MP Front Camera,850 mAh Battery
103,Kechaoda K115,4.1,₹999,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,3.66 cm (1.44 inch) QVGA Display,0.3MP + 0MP | 0MP Front Camera,850 mAh Battery
104,Kechaoda K115,4.1,₹998,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,3.66 cm (1.44 inch) QVGA Display,0.3MP + 0MP | 0MP Front Camera,850 mAh Battery
105,Kechaoda K115,4.1,₹998,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,3.66 cm (1.44 inch) QVGA Display,0.3MP + 0MP | 0MP Front Camera,850 mAh Battery
106,Kechaoda K115,4.1,"₹1,020",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,3.66 cm (1.44 inch) QVGA Display,0.3MP + 0MP | 0MP Front Camera,850 mAh Battery
107,"OnePlus Nord CE4 lite 5G (SUPER SILVER, 128 GB)",4.4,"₹17,172",8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Display,50MP Rear Camera,5500 mAh Battery
108,"REDMI 13 5G (Orchid Pink, 128 GB)",4.3,"₹13,744",8 GB RAM | 128 GB ROM,17.25 cm (6.79 inch) Full HD+ Display,108MP Rear Camera,5030 mAh Battery
109,"realme C63 5G Charger in the Box (Forest Green, 128 GB)",4.5,"₹11,499",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,5000 mAh Battery
110,"OnePlus Nord CE4 lite 5G (ULTRA ORANGE, 128 GB)",4.4,"₹16,888",8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Display,50MP Rear Camera,5500 mAh Battery
111,itel Keypad Mobile | 2.4 inch Display| Type C Charging,4.1,"₹1,069",4 MB RAM | 4 MB ROM,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,1200 mAh Battery
112,"Samsung Galaxy S24 FE 5G (Graphite, 128 GB)",4.5,"₹35,999",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 12MP | 10MP Front Camera,4700 mAh Battery
113,"Samsung Galaxy S24 FE 5G (Mint, 256 GB)",4.5,"₹41,999",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 12MP | 10MP Front Camera,4700 mAh Battery
114,"Motorola g64 5G (Berry Red, 256 GB)",4.2,"₹15,999",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP (OIS) + 8MP | 16MP Front Camera,6000 mAh Battery
115,"Samsung Galaxy S24 FE 5G (Mint, 128 GB)",4.5,"₹35,999",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 12MP | 10MP Front Camera,4700 mAh Battery
116,"realme C63 5G Charger in the Box (Forest Green, 128 GB)",4.5,"₹10,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) HD+ Display,32MP Rear Camera | 8MP Front Camera,5000 mAh Battery
117,"Samsung Galaxy M35 5G (Thunder Grey, 128 GB)",4.3,"₹15,238",8 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,6000 mAh Battery
118,"Samsung Galaxy M35 5G (Moonlight Blue, 128 GB)",4.3,"₹15,233",8 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Display,50MP Rear Camera,6000 mAh Battery
119,"POCO X7 5G (Yellow, 128 GB)",4.3,"₹16,999",8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Display,50MP + 8MP + 2MP | 20MP Front Camera,5500 mAh Battery
120,Kechaoda K115,4.1,₹998,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,3.66 cm (1.44 inch) QVGA Display,0.3MP + 0MP | 0MP Front Camera,850 mAh Battery
121,Kechaoda K115,4.1,"₹1,020",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,3.66 cm (1.44 inch) QVGA Display,0.3MP + 0MP | 0MP Front Camera,850 mAh Battery
122,"IQOO Z10X 5G (Ultramarine, 128 GB)",4.4,"₹15,041",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,6500 mAh Battery
123,"OnePlus Nord CE4 lite 5G (SUPER SILVER, 128 GB)",4.4,"₹17,172",8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Display,50MP Rear Camera,5500 mAh Battery
124,itel Keypad Mobile | 2.4 inch Display| Type C Charging,4.1,"₹1,069",4 MB RAM | 4 MB ROM,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,1200 mAh Battery
125,"Samsung Galaxy S24 FE 5G (Mint, 128 GB)",4.5,"₹35,999",8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 12MP | 10MP Front Camera,4700 mAh Battery
126,"Samsung Galaxy S24 FE 5G (Mint, 256 GB)",4.5,"₹41,999",8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 12MP | 10MP Front Camera,4700 mAh Battery
